Generic Name,FUKKM System/Group,MDC,NEML,Method of Purchase,Category,Indications,Prescribing Restrictions,Dosage,Adverse Reaction,Contraindications,Interactions,Precautions,is_quota,MAL_Brands
Budesonide 160mcg and Formoterol 4.5mcg Inhalation,Respiratory System > Drugs for Obstructive Airway Diseases,R03AKO7-989-A21-01-XXX,Yes,Government Contract,"A*, A/KK","Prescriber category A/KK: i) Regular treatment of asthma where use of a combination (inhaled corticosteroid and long-acting beta2-agonist) is appropriate: - Patients not adequately controlled with inhaled corticosteroids and ""as needed"" inhaled short-acting beta2-agonists. or - Patients already adequately controlled on both inhaled corticosteroids and long- acting beta2-agonists. ii) As a reliever treatment for mild asthma patients who do not adhere to regular inhaled corticosteroid Prescriber category A*: iii) Treatment of COPD patients with a blood eosinophil count of 300 cells/microliter and more iv) Treatment of COPD patients with blood eosinophil count of 100 cells/microliter and more with history of repeated exacerbation despite regular treatment with long-acting bronchodilators.","70 PT (KKTPG, KKTD, KKJ),  60 PT (KKBC, KKB), 40  PT (KKS, KKTS)  (KUOTA)","i) Asthma Maintenance therapy: Adult ≥18 yr 160 mcg to 320 mcg bd. Some patients may require up to a max of 640 mcg bd. Adolescent 12-17 yr 160 mcg to 320 mcg bd. Childn 6-11 yr 160 mcg bd, <6 yr Not recommended. Maintenance & relief Adult and adolescent ≥12 yr 320 mcg/day either as 160 mcg bd or 320 mcg od either morning or evening. For some patients a maintenance dose of 320 mcg bd may be appropriate. Patients should take 160 mcg additional inhalation as needed in response to symptoms. If symptoms persist after a few minutes, an additional inhalation should be taken. Not more than 960 mcg should be taken on any single occasion. A total daily dose of more than 1280 mcg is not normally needed, however a total daily dose of up to 1920 mcg could be used for a limited period. Patients using more than 1280 mcg daily should seek medical advice, should be reassessed & their maintenance therapy reconsidered. ii) Asthma reliever-only therapy: 160 mcg as needed, but no more than 960 mcg to be taken on any single occasion. Children <12 yr: Not recommended iii & iv) COPD: Adult ≥18 yr 320 mcg bd.","Palpitations, candida infections in the oropharynx, headache, tremor, mild irritation in the throat, coughing and hoarseness, tachycardia, nausea, muscle cramps, dizziness, agitation, restlessness, nervousness, sleep disturbances, bruises","Hypersensitivity to budesonide, formoterol or lactose (which contains small amounts of milk protein).","Itraconazole, ritonavir, CYP3A4 inhibitors. β-blockers (including eye drops), potent CYP3A4 inhibitors. Quinidine, disopyramide, procainamide, phenothiazines, antihistamines (terfenadine), MAOIs (furazolidone & procarbazine) & tricyclic antidepressants, anesthetic, digitalis.","Taper dose when discontinuing treatment. Seek medical advice if treatment is ineffective or exceeds highest recommended dose. Maintenance dose should be taken even when asymptomatic. Prophylactic use eg before exercise, has not been studied. Therapy should not be initiated during an exacerbation. Should be discontinued upon paradoxical bronchospasm, with an immediate increase in wheezing after dosing. Potential systemic effects in patients on high doses for prolonged periods eg adrenal suppression, reduced bone mineral density, glaucoma, cataract. Thyrotoxicosis, phaeochromocytoma, diabetes mellitus, untreated hypokalaemia, hypertrophic obstructive cardiomyopathy, idiopathic subvalvular aortic stenosis, severe hypertension, aneurysm, severe cardiovascular disorders. Unstable & acute asthma. Monitor K levels. Pregnancy, lactation. Monitor growth in children & adolescents especially with long-term therapy. Formoterol may induce prolongation of the QTc-interval. Fungal or viral infections in the airways.",TRUE,
Budesonide 200mcg/dose Inhalation,Respiratory System > Drugs for Obstructive Airway Diseases,R03BA02-000-A21-02-XXX,Yes,APPL,B,Maintenance treatment of asthma as prophylactic therapy especially if not fully controlled by bronchodilators,,"ADULT: 200-1600 mcg daily in 2-4 divided doses. Maintenance with twice daily dosing. CHILD more than 7 years: 200-800 mcg, 2 - 7 years: 200-400 mcg. To be inhaled in 2-4 divided doses.","Mild irritation of the throat, coughing, and generally reversible hoarseness of the voice. Bad taste, dryness of the throat. Candidiasis of the mouth and throat, paradoxical bronchoconstriction, headache, nausea, tiredness, thirst, diarrhoea, skin reaction",Hypersensitivity to budesonide. Moderate to severe bronchiectasis,"Oral or parenteral corticosteroids: effects enhanced by the concomitant use. Amiodarone: increased risk of developing Cushing's syndrome. Ketoconazole, erytromycin, ritonavir : increased budesonide plasma concentrations","Acute exacerbations, accompanied by increased mucous viscosity and mucous plugging. Caution in viral infections such as varicella, in untreated fungal and bacterial infections of the respiratory system. Pregnancy and lactation",FALSE,
Budesonide 64mcg Nasal Spray,Respiratory System > Nasal Preparations,R01AD05-000-A41-03-XXX,Yes,LP,A/KK,"Seasonal allergic, perennial rhinitis and nasal polyposis",,ADULT and CHILD 6 years and older. Rhinitis : 2 spray into each nostril once daily in the morning or 1 spray into each nostril twice daily. Nasal polyps : 2 spray twice daily,"Nasal irritation, nose bleeding, dryness of throat, epistaxis, pharyngitis, cough, nasal irritation, bronchospasm, cataract, cushing's syndrome, glaucoma, secondary hypocortisolism","Severe nasal infection, recurrent nasal bleeding, hypersensitivity to budesonide products, status asthmaticus or other acute episodes of asthma","Erythromycin, clarithromycin, lansoprazole, amoxicillin, fluvoxamine, itraconazole, ketoconazole, protease inhibitors, voriconazole, cimetidine","Severe fungal and viral nasal infections, chronic use, liver cirrhosis, reduce liver function, pulmonary tuberculosis, glaucoma, adrenal suppression",FALSE,
Calamine Lotion,"Dermatologicals > Antipruritics, incl. Antihistamines, Anesthetics, etc.",D04AX00000L8001XX,Yes,APPL,C+,"Soothes and relieves nappy rashes, prickly heat, minor skin irritations, insect bites and sunburn, Pruritic skin conditions.",,"Apply to the skin as required and allow to dry, 1-3 times daily",Rash or irritation,Not known.,Not known,Avoid contact with eyes and other mucous membranes. Not to be used on open wounds or burns.,FALSE,
Calcium Carbonate 500 mg Tablet,Alimentary Tract and Metabolism > Mineral Supplements,A12AA04-121-T10-01-XXX,Yes,Government Contract,B,i) Hyperphosphatemia (phosphate binder) in chronic kidney disease patients ii) Calcium supplementation,,"i) Total dose of elemental calcium from calcium-based phosphate binder not to exceed 1,500 mg/day. Dosing is individualised based on serum phosphate level and according to product insert/protocol ii) 500 mg to 4g per day as calcium carbonate in 1-3 divided doses (500mg capsule contains 200mg elemental calcium) Dosing is individualised based on serum calcium level and according to product insert/protocol","Gastrointestinal irritation, constipation, flatulence, gastric hypersecretion and acid rebound, hypercalcaemia, alkalosis and renal dysfunction","Patients with calcium renal calculi or history of renal calculi, hypercalcaemia, hypophosphataemia","Co-administration with thiazide diuretics or vitamin D may lead to milk-alkali syndrome and hypercalcaemia. Decreased absorption with corticosteroids. Decreases absorption of tetracyclines, atenolol, iron, quinolones, alendronate, natrium fluoride, zinc and calcium-channel blockers. Enhances cardiac effects of digitalis glycosides and may precipitate digitalis intoxication","Renal impairment, hypercalcaemia-associated disease eg, other malignancies, sarcoidosis, elderly",FALSE,
Calcium Gluconate 10% Injection,Alimentary Tract and Metabolism > Mineral Supplements,A12AA03-000-P30-01-XXX,Yes,Government Contract,B,i)Acute hypocalcaemia ii)Hypocalcaemic tetany iii)Cardiac resuscitation,,"i) ADULT: 1 to 2 g (2.2 to 4.4 mmol). CHILD: 50mg/kg/dose (0.5ml/kg/dose) IV short infusion over at least 10 to 20 minutes, per dose. Max: 20ml per dose; ii) ADULT: 1g (2.2 mmol) by slow IV injection followed by continuous infusion of 4 g (8.8 mmol) daily; iii) IV or intracardiac injection, 1g (2.2mmol). Dosing is individualised and according to product insert/protocol.","GI irritation; soft-tissue calcification, skin sloughing or necrosis after IM/SC inj. Hypercalcaemia characterised by anorexia, nausea, vomiting, constipation, abdominal pain, muscle weakness, mental disturbances, polydipsia, polyuria, nephrocalcinosis, renal calculi; chalky taste, hot flushes and peripheral vasodilation. Potentially Fatal: Cardiac arrhythmias and coma.","Hypercalcaemia, hypercalciuria (hyperparathyroidism,Vitamin D overdosage, decalcifying tumours such as plasmocytoma, bone metastases); severe renal failure; patients treated with digitalis; not advisable to administer calcium gluconate to galactosaemic patients.",Increased inotropic and toxic effects when used with cardiac glycosides. Complex formation with tetracyclines.High vitamin D intake should be avoided unless specially inidcated. May reduce the response of verapamil and possibly other calcium channel blockers.,"Impaired renal function; cardiac disease; hypercalcaemia-associated diseases, e.g. sarcoidosis; other malignancies. Pregnancy.",FALSE,
Captopril 25 mg Tablet,Cardiovascular System > Agents Acting on the Renin-angiotensin System,C09AA01000T1002XX,Yes,APPL,B,i) Hypertension ii) Congestive heart failure iii) Post-myocardial infarction iv) Diabetic kidney disease,10 TAB/KK (EMERGENCY TROLLEY ITEM),i) Initial: 25-75mg in 2-3 divided doses Maintenance: 100-150mg in 2-3 divided doses ii) Initial: 6.25-12.5mg 2-3 times daily Maintenance: 75-150mg daily in divided doses iii) Initial: 6.25mg followed by 12.5mg and then 25mg Maintenance: 75-150mg daily in 2-3 divided doses iv) 75-100 mg in divided doses Dosing is individualised and according to product insert / protocol.,"Rash, pruritus, flushing, angioedema, loss of taste perception, stomatitis, gastrointestinal irritation and abdominal pain, leucopenia, persistent dry (non-productive) cough, hypotension, tachycardia, chest pain, palpitations, pruritus, hyperkalaemia. Proteinuria; Potentially Fatal: Neutropenia, usually occurs within 3 mth of starting therapy especially in patients with renal dysfunction or collagen diseases. Hyperkalaemia. Anaphylactic reactions.",Angioedema induced by other angiotensin converting enzyme (ACE) inhibitors during prior exposure. Anuric renal failure during prior exposure to ACE inhibitors. Hypersensitivity to this or any other ACE inhibitor. Pregnancy (second and third trimester pregnancy),"May increase serum K with Kalium K-sparing diuretics. Hypotensive effects enhanced by diuretics. Antihypertensive effect diminished by indomethacin, salicylates, NSAIDs","Anaphylaxis during lipid apheresis with dextran sulfate membranes and during hymenoptera desensitization, angioedema; discontinue if laryngeal stridor or angioedema of the face, tongue, or glottis is observed, aortic stenosis, breast feeding period, cough, impaired renal function",FALSE,
Carbamazepine 200 mg Tablet,Nervous System > Antiepileptics,N03AF01-000-T10-01-XXX,Yes,APPL,B,i) Epilepsy ii) Trigeminal neuralgia,,"i) ADULT: 100 - 200 mg 1 - 3 times daily increased gradually to usual dose of 0.8 - 1.2 g daily in divided doses. CHILD: Up to 1 year: 100 - 200 mg daily 1 - 5 yrs: 200 - 400 mg daily 5 - 10 years: 400 - 600 mg daily 10 - 15 years: 0.6 - 1 g daily ii) The initial dosage of 200 to 400mg should be slowly raised daily until freedom from pain is achieved (normally at 200mg 3 to 4 times daily). The dosage should then be gradually reduced to the lowest possible maintenance level. In elderly patients, an initial dose of 100mg twice daily is recommended.","Rash, Stevens-Johnson Syndrome, nausea, drowsiness, dizziness, ataxia, blood dyscrasias, confusion, agitation, visual disturbance, constipation or diarrhoea, anorexia, leukopenia, blood disorders, Syndrome of inappropriate ADH (SIADH), cardiac conduction abnormalities, gynaecomastia, allergic skin reactions, vomiting, accommodation disorders, diplopia, raised liver enzymes, thrombocytopenia and hyponatraemia, exfoliative dermatitis.","Hypersensitivity to carbamazepine products or tricyclic compounds, bone marrow suppression, porphyria, concomitant MAOIs, pregnancy","Plasma level is increased by erythromycin, diltiazem, isoniazid, verapamil, fluoxetine, cimetidine and decreased by other antiepileptics and theophylline. May reduce alcohol tolerance and antagonise the effects of non-depolarising muscle relaxants. Cytochrome P450 3A4 inducers or inhibitors, oral contraceptive","Breast feeding, pregnancy, liver or kidney dysfunction, increased intraocular pressure, history of cardiac damage, elderly patients, glaucoma, may exacerbate certain types of idiopathic epilepsy. Avoid abrupt discontinuation. Neonatal withdrawal syndrome. Potential for an increase in risk of suicidal thoughts or behaviours",FALSE,
Carbimazole 5 mg Tablet,"Systemic Hormonal Preparations, excl. Sex Hormones and Insulins > Thyroid Therapy",H03BB01000T1001XX,Yes,APPL,B,Hyperthyroidism,,"ADULT: Initially, 10-60mg daily in divided doses given 8 hourly. Maintenance: 5 to 20mg daily. CHILDREN > 6 years: Initially 15mg daily in divided doses. CHILDREN 1-6 years: Initially 7.5mg daily in divided doses","Skin rashes, nausea, headache, gastrointestinal disturbances, hepatic disorders, neutropenia, agranulocytosis. Rarely, pancytopenia / aplastic anaemia, haemolytic anaemia","Blood dyscrasias, hypersensitivity, tracheal obstruction","Concurrent use of digoxin and carbimazole may result in decreased peak serum levels of digoxin. Antithyroid drugs, by reducing the extent of hyperthyroidism, decrease the metabolism of clotting factors and thus reduce the effects of oral anticoagulants","Liver disorders, pregnancy (discontinue 3-4 weeks before delivery), lactation",FALSE,
Ceftriaxone 0.5 g Injection,Antiinfectives for Systemic Use > Antibacterials for Systemic Use,J01DD04-520-P40-02-XXX,Yes,LP,"A, A/KK",PRESCRIBER CATEGORY A Infections caused by susceptible organisms PRESCRIBER CATEGORY A/KK Gonorrhoea,,"ADULT: 1 - 2 g once daily. Severe infection: 4 g daily at 12 hour intervals. Gonorrhea 500mg IM as single dose NEONATE up to 2 weeks: 20 - 50 mg/kg body weight daily, not to exceed 50 mg/kg INFANT & CHILD, 3 weeks - 12 years: 20 - 80 mg/kg body weight daily. CHILD with body weight 50 kg or more: adult dose.","GI upsets, haematological changes, skin reactions, coagulation disorders, phlebitis, agranulocytosis, renal precipitations NPRA Safety Alert 1. 31 Jan 2019 Disturbed consciousness, convulsions or involuntary movements 2. 20 Apr 2021 Risk of Encephalopathy 3. 5 Sept 2023 Risk of Seizures","Hypersensitivity to cephalosporins. Neonates aged less than or 28 days if they require treatment with calcium-containing intravenous solutions, including calcium-containing infusions such as parenteral nutrition, because of the risk of precipitation of ceftriaxone-calcium","Ciclosporin, typhoid vaccine","Previous hypersensitivity to penicillins, anaphylactic shock, severe renal& hepatic failure, pregnancy. Ceftriaxone and calcium -containing solutions may be administered sequentially to one another if the infusion lines are thoroughly flushed between infusions with compatible fluid. Diluents containing calcium (Ringer's / Hartmann's solution) are not to be used to reconstitute ceftriaxonevials or to further dilute a reconstituted vial for IV administration because a precipitate can form. Ceftriaxone must not be administered simultaneously with calcium- containing intravenous solutions, including continous calcium -containing infusions such as parenteral nutrition via a Y-site, because precipaitation of ceftriaxone-calcium can occur",FALSE,
Cefuroxime Axetil 125 mg Tablet,Antiinfectives for Systemic Use > Antibacterials for Systemic Use,J01DC02-233-T10-01-XXX,No,APPL,A/KK,"Upper and lower respiratory tract, genito-urinary tract, skin & soft tissue and urinary tract infections (UTI)",,"ADULT: Most infections: 250 mg twice daily Severe infections: 500mg twice daily CHILD: Most infections: 125mg twice daily or 30 mg/kg/day in 2 divided doses, up to 500 mg daily Severe infections: 250mg twice daily Dosing is individualised and according to package insert","GI disturbances occasionally pseudomembraneous colitis, hypersensitivity reactions, eosinophilia, headache, superinfection NPRA Safety Alert 1. 31 Jan 2019 Disturbed consciousness, convulsions or involuntary movements 2. 5 Sept 2023 Risk of Seizures",Hypersensitivity to cephalosporins,"Drugs which reduce gastric acidity, such as proton pump inhibitors and H2 antagonists","Anaphylactic reaction to penicillins, Severe renal impairment; pregnancy, lactation",FALSE,
Cephalexin Monohydrate 125 mg/5 ml Syrup,Antiinfectives for Systemic Use > Antibacterials for Systemic Use,J01DB01-010-F21-01-XXX,Yes,LP,B,"Respiratory tract infections, ear, nose and throat infections, urinary tract infections, obstetric and gynaecologic infections",,CHILD: 25 - 100 mg/kg/day every 6 hourly. Maximum: 4 g daily,"GI disturbances, overgrowth of non-susceptible organisms, hypersensitivity reactions, reversible neutropenia",Hypersensitivity to cephalosporins,Concurrent treatment with high doses of cephalosporins& aminoglycosides or potent diuretics may adversely affect renal function. Probenecid may increase or prolong plasma level& toxicity of cephalosporins,"Hypersensitivity to penicillins, renal impairment, superinfection. Pregnancy and lactation",FALSE,
Cephalexin Monohydrate 250 mg Capsule,Antiinfectives for Systemic Use > Antibacterials for Systemic Use,J01DB01-010-C10-01-XXX,Yes,APPL,B,"i) Respiratory tract infection, urinary tract infection ii) Complicated, recurrent or chronic infections, bronchitis iii) Pneumonia",,i) 250 mg 6 hourly ii) 250 - 500 mg 6 hourly iii) 1 - 1.5 g 3 times daily or 4 times daily. Maximum: 6 g/day Child: 25-100 mg/kg daily in divided doses. Max: 4 g daily.,"GI disturbances, overgrowth of non-susceptible organisms, hypersensitivity reactions, reversible neutropenia",Hypersensitivity to cephalosporins,Concurrent treatment with high doses of cephalosporins& aminoglycosides or potent diuretics may adversely affect renal function. Probenecid may increase or prolong plasma level& toxicity of cephalosporins. Isolated reports of cephalexin decreasing the efficacy of oestrogen-containing oral contraceptives,"Hypersensitivity to penicillins, renal impairment, superinfection. Pregnancy and lactation",FALSE,
Cetirizine HCl 10mg Tablet,Respiratory System > Antihistamines for Systemic Use,R06AE07-110-T10-01-XXX,Yes,LP,B,"Urticaria, allergic dermatoses (insect bites, atopic eczema), perennial rhinitis, allergic rhinitis",,ADULT and CHILD over 6 years:10 mg daily or 5 mg twice daily. Child 2-6 years: 5 mg once daily or 2.5 mg twice daily,"Somnolence, fatigue, headache and dry mouth, pharyngitis, abdominal pain, coughing, diarrhoea, epistaxis, bronchospasm, nausea, vomiting,","Hypersensitivity to cetirizine or hydroxyzine, not to be used in children less than 2 years of age.",Decreased cetirizine clearance resulting in elevated cetirizine serum concentrations and possibly cetirizine toxicity with theophylline,"Activities requiring mental alertness. Concurrent use of central nervous system depressants. Renal insufficiency or hepatic dysfunction, elderly. To be used with caution and doctor's advice in children 2 to 6 years of age.",FALSE,
Cetrimide 1-2% Lotion.,Dermatologicals > Antiseptics and Disinfectants,D08AJ04000L6001XX,No,APPL,C+,As shampoo and cleansing agent,,Apply to affected area,Cutaneous irritation and local effects,Hypersensitivity to cetrimide,Not known,"Contact with the eyes, brain, meninges, and middle ear should be avoided. Cetrimide should not be used in body cavities or as an enema",FALSE,
"Charcoal, Activated 250mg Tablet","Alimentary Tract and Metabolism > Antidiarrheals, Intestinal Antiinflammatory/antiinfective Agents",A07BA01-000-T10-01-XXX,Yes,LP,C,"i) Diarrhoea and food poisoning; ii) Reduce absorption of drugs, plant, inorganic poison and chemicals in poisoning cases.",,i) ADULT: 500mg -1000mg given 3-4 times daily. CHILD (up to 12 years): 250-500mg 3-4 times daily. ii) ADULT and CHILD over 12 years: initial 25-100 g or 1-2g/kg; repeat initial dose as soon as possible or 25-50 g every 4-6 hours. CHILD (up to 12 years): 0.5 to 1 g/kg/dose (Maximum: 50 g/dose). Dose may be repeated every 2-6 hours as needed.,Black stools and gastrointestinal disturbances,"An unprotected airway, gastrointestinal tract not anatomically intact","Acarbose, carbamazepine, digoxin, frusemide, olanzapine, phenytoin; decreased effectiveness of these drugs, reduce absorption of oral therapy and render their effectiveness, simultaneous oral therapy should be avoided. Clear activated charcoal from stomach /avoid its usage if methionine (specific oral antidote) is to be used","Aspiration of charcoal, hydrocarbons, corrosive, imaging of gastroesophageal. Caution in patient at risk of gastrointestinal obstruction",FALSE,
Chloramphenicol 0.5% Eye Drops,Sensory Organs > Ophthalmologicals,S01AA01-000-D20-01-XXX,Yes,Government Contract,C,Ophthalmic infections,,Instill 1 drop of a 0.5% solution every 2 hr. Increase dosage interval upon improvement.,"Allergic reactions, superinfection, bone marrow hypoplasia including aplastic anaemia",Hypersensitivity to chloramphenicol products,Not known,Overgrowth of non-susceptible organisms in prolonged use,FALSE,
Chloramphenicol 1% Eye Ointment,Sensory Organs > Ophthalmologicals,S01AA01-000-G51-01-XXX,Yes,APPL,C,Treatment of ocular infections involving the conjunctiva and/or cornea caused by chloramphenicol susceptible organisms,,"ADULT and CHILD : Apply to the conjunctiva, a thin strip (approximately 1 cm) of ointment every 3 hours or more frequently","Allergic reactions, superinfection, bone marrow hypoplasia including aplastic anaemia",Hypersensitivity to chloramphenicol products,Not known,Overgrowth of non-susceptible organisms in prolonged use,FALSE,
Chloramphenicol 5% w/v Ear Drops,Sensory Organs > Otologicals,S02AA01-000-D10-01-XXX,Yes,APPL,C,"Acute otitis media, otitis externa with perforation",,Apply 2 - 3 drops into the ear 2 - 3 times daily. Not to be used for long term,"Sensitivity to the vehicle propylene glycol, local irritation with symptoms of burning, itching, urticaria, transient stinging","Hypersensitivity to chloramphenicol products, perforated tympanic membrane, chronic otitis media with perforation","With other antibacterials, antiepileptics, anticoagulants, cyclosporin",Use with caution in the presence of perforated tymphanic membrane. Overgrowth of non-susceptible infection over prolonged use,FALSE,
Chlorhexidine Gluconate 5% Solution,Dermatologicals > Antiseptics and Disinfectants,D08AC02-137-L99-01-XXX,Yes,APPL,C+,Use as antiseptic and disinfectant in: i) Preoperative skin disinfection; ii) Emergency disinfection of instruments; iii) Wounds or burns.,,To be used as diluted solution: (i) 0.5 % w/v Aqueous solution : Dilute 10 ml of solution with 70% alcohol up to 100ml. (ii) 0.5 % w/v Aqueous solution : Dilute 10 ml of solution with 70% alcohol up to 100ml. Immerse for 2 minutes (iii) 0.05 % w/v aqueous solution : Dilute 1 ml of solution with 100 ml of sterile water.,"Mucosal irritation (discontinue if desquamation), parotid gland swelling, irritation and gastrointestinal disturbances. Inhalation of solvent vapours may give rise to nausea, headaches and dizziness",Hypersensitivity to any of its components,Avoid cemented glass components,"Avoid contact with meninges, application into hairy areas and not use as a preoperative skin preparation for the face or head. Keep disinfectant solution out of the eyes, ears and mouth",FALSE,
Chlorpheniramine Maleate 10mg/ml Injection,Respiratory System > Antihistamines for Systemic Use,R06AB04-253-P30-01-XX,Yes,APPL,B,Allergic conditions,,"10 - 20 mg IM or SC, repeated if required. Not to exceed 40 mg in 24 hours. 10 - 20 mg over 1 minute by slow IV","Drowsiness, dizziness, stinging or burning sensation at injection site, hypotension, CNS stimulation, tinnitus, blurred vision, irritability, lassitude","Hypersensitivity to chlorpheniramine, not to be used in children less than 2 years of age.","Alcohol pontentiate CNS depressants, actions prolonged by MOAIs, anticholinergic drugs","Porphyria, pregnancy, asthma, glaucoma, avoid operating vehicles or machinery. Parenteral injection have to be protected from light to prevent discolouration. To be used with caution and doctor's advice in children 2 to 6 years of age.",FALSE,
Chlorpheniramine Maleate 2mg/5ml Syrup,Respiratory System > Antihistamines for Systemic Use,R06AB04-253-L90-01-XXX,Yes,APPL,C,Symptomatic treatment of allergic conditions responsive to antihistamine,,CHILD 2 - 5 years : 1 mg every 4 - 6 hours (maximum 6 mg daily) 6 - 12 years : 2 mg every 4 - 6 hours (maximum 12 mg daily),"Drowiness, dizziness, hypotension, CNS stimulation, tinnitus, blurred vision, irritability, lassitude","Hypersensitivity to chlorpheniramine, not to be used in children less than 2 years of age.","Alcohol pontentiate CNS depressants, actions prolonged by MAOIs, anticholinergic drugs","Porphyria, pregnancy, asthma, glaucoma, avoid operating vehicles or machinery, to be used with caution and doctor's advice in children 2 to 6 years of age.",FALSE,
Chlorpheniramine Maleate 4mg Tablet,Respiratory System > Antihistamines for Systemic Use,R06AB04-253-T10-01-XXX,Yes,APPL,C,Symptomatic treatment of allergic conditions responsive to antihistamines,,ADULT : 4 mg every 4 - 6 hours. Maximum 24 mg daily. CHILD 2 - 5 years : 1 mg every 4 - 6 hours (maximum 6 mg daily) 6 - 12 years : 2 mg every 4 - 6 hours (maximum 12 mg daily),"Drowsiness, dizziness, hypotension, CNS stimulation, tinnitus, blurred vision, irritability, lassitude","Hypersensitivity to chlorpheniramine, not to be used in children less than 2 years of age.","Alcohol, CNS depressants, MAOIs, anticholinergics drugs","Prophyria, pregnancy, asthma, glaucoma avoid operating vehicles or machinery, to be used with caution and doctor's advice in children 2 to 6 years of age.",FALSE,
Chlorpromazine HCl 100mg Tablet,Nervous System > Psycholeptics,N05AA01-110-T10-02-XXX,Yes,APPL,B,i) Psychotic conditions ii) Anti-emetic,,ADULT: Initial: 25-50mg two- three times daily Maintenance: 25-100mg two- three times daily CHILD: Not recommended Dosing is according to product insert / protocol.,"Postural hypotension, akathisia, tardive dyskinesia, arrhythmias, constipation, haematologic effects, agranulocytosis, aplastic anaemia, thrombocytopenia, neuroleptic malignant syndrome, jaundice, agitation, insomnia, parkinsonism symptoms, drowsiness, convulsion and tachycardia, acute dystonia, leukopenia, angioedema, bronchospasm, urticaria, hyperprolactinemia, eye, cardiac, skin & subcutanoues tissue disorders, dry mouth, respiratory depression, neuroleptic malignant syndrome. Rarely agranulocytosis, priapism","Hypersensitivity to chlorpromazine products, phenothiazines, myelosuppression, coma, severe CNS depression, bone marrow depression","Alcohol, CNS depressant, anticholinergic, tramadol, phenobarbitone, beta-blockers (metoprolol, atenolol, propranolol), captopril,norepinephrine, procyclidine, warfarin, epinephrine, cimetidine, ethanol, adrenaline, antacids, amphetamine, amiodarone, bumetamide, chlorothiazides, clarithromycin, erythromycin, frusemide, phenytoin, antiarrhythmics, antidepressants & other antipsychotics, carbamazepine","Pregnancy and lactation, elderly, epilepsy or history of seizure, impaired kidney and liver function, Parkinson's disease, severe hypotension, hypothyroidism, cardiac failure, phaeochromocytoma, myasthenia gravis & prostate hypertrophy. Avoid in patient hypersensitive to phenothiazines, history of narrow-angle glaucoma or agranulocytosis. Monitor BP & complete blood count. Avoid exposure to sunlight",FALSE,
Clonazepam 2mg Tablet,Nervous System > Antiepileptics,N03AE01-000-T10-02-XX,Yes,APPL,B,i) Epilepsy ii) Non-epileptic myoclonus,,"i) & ii) ADULT: Initial dose should not exceed 1.5mg/day divided into 3 doses, may be increased in increments of 0.5mg every 3 days until seizures are controlled. Maintenance dose: 3-6mg/day. Maximum: 20mg/day. CHILD up to 10 years: initial dose 0.01-0.03 mg/kg/day in 2-3 divided doses, increased by no more than 0.25-0.5mg every third day, maximum 0.2mg/kg/day. CHILD 10-16 years: initial dose 1-1.5mg/day in 2-3 divided dose, may be increased by 0.25-0.5mg every third day until individual maintenance dose of 3-6mg/day is reached.","Drowsiness, ataxia, aggravation of seizure, fatigue, dizziness. Tiredness, sleepiness, lassitude, muscular hypotonia, muscle weakness, light-headedness, ataxia, slowed reaction, poor concentration, restlessness, confusion, agitation, excitability, irritability, disorientation, anterograde amnesia, depression. Increased production of saliva or bronchial secretions in infants and young children, coordination disturbances, vertigo, anorexia, visual disturbances, libido changes","Hypersensitivity to clonazepam products and benzodiazepines, severe liver disease, narrow angle glaucoma, respiratory depression, acute pulmonary insufficiency","Phenytoin, phenobarbital, carbamazepine and valproate may increase the clearance of clonazepam. Combination with valproate may cause petit mal status epilepticus. Enhanced effects on sedation, respiration and hemodynamics when co-administered with any central acting depressants including alcohol","Avoid abrupt withdrawal, renal insufficiency, respiratory disease, acute intermittent porphyria, uncontrolled open angle glaucoma, elderly, pregnancy, lactation, may exacerbate tonic seizures. Patients with spinal or cerebellar ataxia, acute alcohol or drug intoxification, severe liver damage, sleep apnoea, renal and hepatic diseases. History of depression and or suicide attempts. Simultaneous use of other anti-epileptics. Avoid driving and operating machinery",FALSE,
